126.Pt   -6.087561    Pt_1
989737.Ag   -2.712659    Ag_3
94.Cd   -0.749884    Cd_2
1018122.Tm  -4.470652 Tm_3 
1025183.Ho2B4C  -7.019273 Ho_2 B_4 C_1 
1025246.Er2B4C  -7.024477 Er_2 B_4 C_1 
1025379.Tb2B4C  -7.006897 Tb_2 B_4 C_1 
10289.Ca(BC)2  -7.090122 Ca_2 B_4 C_4 
103.Hf  -9.923235 Hf_2 
10566.Lu3BC3  -7.320326 Lu_6 B_2 C_6 
10658.Dy  -4.542550 Dy_3 
10659.Ho  -4.517373 Ho_3 
1078268.Pr2BC  -6.627518 Pr_4 B_2 C_2 
1078866.Y(BC)2  -8.109945 Y_2 B_4 C_4 
1080176.Gd(BC)2  -7.739074 Gd_2 B_4 C_4 
10853.Pr(BC)2  -7.718143 Pr_2 B_4 C_4 
10854.Tb(BC)2  -7.734562 Tb_2 B_4 C_4 
10856.Er(BC)2  -7.713710 Er_2 B_4 C_4 
1095577.Tm4B3C4  -7.320870 Tm_4 B_3 C_4 
1103476.DyB12  -6.784323 Dy_1 B_12 
1103975.YbC6  -8.210140 Yb_2 C_12 
1104066.TbB12  -6.784422 Tb_1 B_12 
1104289.LuB12  -6.487197 Lu_1 B_12 
1104585.HoB12  -6.783281 Ho_1 B_12 
1104598.ErB12  -6.782081 Er_1 B_12 
1104905.TmB12  -6.780116 Tm_1 B_12 
1105563.GdB4  -6.883880 Gd_4 B_16 
1105800.LuB2C  -7.335942 Lu_4 B_8 C_4 
11219.LuB2  -6.644190 Lu_1 B_2 
1154.Ho4C7  -7.811567 Ho_16 C_28 
11698.Tb  -4.570303 Tb_3 
1184115.Er  -4.496023 Er_3 
1187073.Sr  -1.638244 Sr_3 
1189298.YbB4  -6.133751 Yb_4 B_16 
1189998.Gd2C3  -7.624487 Gd_8 C_12 
1202754.Ho3C4  -7.543852 Ho_30 C_40 
1203719.Er3C4  -7.549548 Er_30 C_40 
1203767.Lu3C4  -7.559432 Lu_30 C_40 
1205180.Tm3C4  -7.553011 Tm_30 C_40 
1208630.SrC6  -8.188248 Sr_2 C_12 
1208749.SmBC  -7.265109 Sm_20 B_20 C_20 
1212812.Dy4C5  -7.470672 Dy_8 C_10 
1212833.Er4C7  -7.811580 Er_8 C_14 
1213387.Dy3C4  -7.538369 Dy_30 C_40 
1214417.BaC6  -8.268265 Ba_2 C_12 
1216546.Tm2C  -6.399992 Tm_2 C_1 
1219177.Sm2C  -6.338409 Sm_2 C_1 
1222310.Lu2C  -6.419095 Lu_2 C_1 
1224869.Gd2C  -6.372051 Gd_2 C_1 
1225044.Er2C  -6.396015 Er_2 C_1 
122.Ba  -1.912139 Ba_1 
123.Nd  -4.712517 Nd_4 
12569.PrB4  -6.855736 Pr_4 B_16 
12574.Dy2C  -6.382736 Dy_2 C_1 
12762.PrB6  -6.901450 Pr_1 B_6 
145.Lu  -4.449428 Lu_2 
15178.Lu4C7  -7.815991 Lu_8 C_14 
15237.Tb4C5  -7.469091 Tb_8 C_10 
